CityCode,CityName,CountryCode,CountryName,Region,CityStatus,Population,PopulationClass,GDP,PerCapitaGDP,IncomeGroup,Area
A00000,Cuiaba,BRA,Brazil,Latin America & Caribbean,Provincial capital,540814,"500,000 to 999,999",1476107292036.59,6923.70019715065,Upper middle income,156547779.02945715
A00001,Brasilia,BRA,Brazil,Latin America & Caribbean,National and provincial capital,2481272,"1,000,000 to 4,999,999",1476107292036.59,6923.70019715065,Upper middle income,299427625.0822809
A00002,Goiania,BRA,Brazil,Latin America & Caribbean,Provincial capital,1297154,"1,000,000 to 4,999,999",1476107292036.59,6923.70019715065,Upper middle income,357094886.16968316
A00003,Campo Grande,BRA,Brazil,Latin America & Caribbean,Provincial capital,776242,"500,000 to 999,999",1476107292036.59,6923.70019715065,Upper middle income,205414029.55279076
A00004,Pedro Juan Caballero,PRY,Paraguay,Latin America & Caribbean,Provincial capital,0, ,35432177936.3317,5353.34804464198,Upper middle income,15933420.495326478
A00005,Puerto Presidente Stroessner,PRY,Paraguay,Latin America & Caribbean,Provincial capital,0, ,35432177936.3317,5353.34804464198,Upper middle income,44860237.930823
A00006,Posadas,ARG,Argentina,Latin America & Caribbean,Provincial capital,371896,"250,000 to 499,999",385540406815.599,8496.428156755,Upper middle income,73350101.64969766
A00007,Cuzco,PER,Peru,Latin America & Caribbean,Provincial capital,428450,"250,000 to 499,999",201947603715.409,6063.62657980167,Upper middle income,37172289.51483983
A00008,Arequipa,PER,Peru,Latin America & Caribbean,Provincial capital,1080635,"1,000,000 to 4,999,999",201947603715.409,6063.62657980167,Upper middle income,203950744.86944455
A00009,La Paz,BOL,Bolivia,Latin America & Caribbean,National and provincial capital,2143000,"1,000,000 to 4,999,999",36629843806.0781,3068.81255516456,Lower middle income,198585792.37457448
A00010,San Fernando,CHL,Chile,Latin America & Caribbean,Provincial capital,0, ,254096103516.324,13165.3863429858,High income,9071858.777825044
A00011,Talca,CHL,Chile,Latin America & Caribbean,Provincial capital,236724,"100,000 to 249,999",254096103516.324,13165.3863429858,High income,36094680.20255452
A00012,Concepcion,CHL,Chile,Latin America & Caribbean,Provincial capital,238092,"100,000 to 249,999",254096103516.324,13165.3863429858,High income,67139082.75455613
A00013,Puerto Montt,CHL,Chile,Latin America & Caribbean,Provincial capital,269398,"250,000 to 499,999",254096103516.324,13165.3863429858,High income,15232372.81557379
A00014,Copiapo,CHL,Chile,Latin America & Caribbean,Provincial capital,171766,"100,000 to 249,999",254096103516.324,13165.3863429858,High income,30230878.355987698
A00015,La Serena,CHL,Chile,Latin America & Caribbean,Provincial capital,249656,"100,000 to 249,999",254096103516.324,13165.3863429858,High income,71739899.19012512
A00016,San Juan,ARG,Argentina,Latin America & Caribbean,Provincial capital,535947,"500,000 to 999,999",385540406815.599,8496.428156755,Upper middle income,128543533.31902519
A00017,Mendoza,ARG,Argentina,Latin America & Caribbean,Provincial capital,1025407,"1,000,000 to 4,999,999",385540406815.599,8496.428156755,Upper middle income,267942352.67874122
A00018,Valparaiso,CHL,Chile,Latin America & Caribbean,Provincial capital,315732,"250,000 to 499,999",254096103516.324,13165.3863429858,High income,129219668.07037161
A00020,Portoviejo,ECU,Ecuador,Latin America & Caribbean,Provincial capital,223086,"100,000 to 249,999",99291124000.0,5645.19928965332,Upper middle income,17361697.274729177
A00021,Guayaquil,ECU,Ecuador,Latin America & Caribbean,Provincial capital,2291158,"1,000,000 to 4,999,999",99291124000.0,5645.19928965332,Upper middle income,169933099.59747866
A00022,Rio Branco,BRA,Brazil,Latin America & Caribbean,Provincial capital,308545,"250,000 to 499,999",1476107292036.59,6923.70019715065,Upper middle income,20665220.122749284
A00023,Cuenca,ECU,Ecuador,Latin America & Caribbean,Provincial capital,331888,"250,000 to 499,999",99291124000.0,5645.19928965332,Upper middle income,40571724.25087939
A00024,Machala,ECU,Ecuador,Latin America & Caribbean,Provincial capital,241606,"100,000 to 249,999",99291124000.0,5645.19928965332,Upper middle income,14696112.241718886
A00025,Tumbes,PER,Peru,Latin America & Caribbean,Provincial capital,0, ,201947603715.409,6063.62657980167,Upper middle income,10265791.423630016
A00026,Loja,ECU,Ecuador,Latin America & Caribbean,Provincial capital,180617,"100,000 to 249,999",99291124000.0,5645.19928965332,Upper middle income,12523467.94317358
A00027,Huanuco,PER,Peru,Latin America & Caribbean,Provincial capital,196627,"100,000 to 249,999",201947603715.409,6063.62657980167,Upper middle income,14431355.244439505
A00028,Quito,ECU,Ecuador,Latin America & Caribbean,National and provincial capital,1619146,"1,000,000 to 4,999,999",99291124000.0,5645.19928965332,Upper middle income,307157162.62308973
A00029,La Tacunga,ECU,Ecuador,Latin America & Caribbean,Provincial capital,0, ,99291124000.0,5645.19928965332,Upper middle income,60311213.25886053
A00030,Ambato,ECU,Ecuador,Latin America & Caribbean,Provincial capital,178538,"100,000 to 249,999",99291124000.0,5645.19928965332,Upper middle income,56505567.01899483
A00031,Riobamba,ECU,Ecuador,Latin America & Caribbean,Provincial capital,156723,"100,000 to 249,999",99291124000.0,5645.19928965332,Upper middle income,51241124.282854855
A00032,Huancayo,PER,Peru,Latin America & Caribbean,Provincial capital,465834,"250,000 to 499,999",201947603715.409,6063.62657980167,Upper middle income,29180237.295255303
A00033,Ayacucho,PER,Peru,Latin America & Caribbean,Provincial capital,216444,"100,000 to 249,999",201947603715.409,6063.62657980167,Upper middle income,12898198.210776448
A00034,Moquegua,PER,Peru,Latin America & Caribbean,Provincial capital,0, ,201947603715.409,6063.62657980167,Upper middle income,29456302.497994974
A00035,Tacna,PER,Peru,Latin America & Caribbean,Provincial capital,286240,"250,000 to 499,999",201947603715.409,6063.62657980167,Upper middle income,65567867.02537634
A00036,Iquique,CHL,Chile,Latin America & Caribbean,Provincial capital,223463,"100,000 to 249,999",254096103516.324,13165.3863429858,High income,64105948.358452134
A00038,Manaus,BRA,Brazil,Latin America & Caribbean,Provincial capital,1792881,"1,000,000 to 4,999,999",1476107292036.59,6923.70019715065,Upper middle income,214721763.30218008
A00039,Porto Velho,BRA,Brazil,Latin America & Caribbean,Provincial capital,369259,"250,000 to 499,999",1476107292036.59,6923.70019715065,Upper middle income,160315502.60667562
A00040,Cochabamba,BOL,Bolivia,Latin America & Caribbean,Provincial capital,0, ,36629843806.0781,3068.81255516456,Lower middle income,229002590.53842354
A00041,Santa Cruz de La Sierra,BOL,Bolivia,Latin America & Caribbean,Other,2248000,"1,000,000 to 4,999,999",36629843806.0781,3068.81255516456,Lower middle income,140494305.957959
A00042,Oruro,BOL,Bolivia,Latin America & Caribbean,Provincial capital,0, ,36629843806.0781,3068.81255516456,Lower middle income,91119118.8380219
A00043,Sucre,BOL,Bolivia,Latin America & Caribbean,Provincial capital,0, ,36629843806.0781,3068.81255516456,Lower middle income,78847082.58893189
A00044,Potosi,BOL,Bolivia,Latin America & Caribbean,Provincial capital,0, ,36629843806.0781,3068.81255516456,Lower middle income,48861051.80284691
A00045,Tarija,BOL,Bolivia,Latin America & Caribbean,Provincial capital,0, ,36629843806.0781,3068.81255516456,Lower middle income,41313769.98675449
A00046,Concepcion,PRY,Paraguay,Latin America & Caribbean,Provincial capital,0, ,35432177936.3317,5353.34804464198,Upper middle income,6585418.790445965
A00047,Asuncion,PRY,Paraguay,Latin America & Caribbean,National capital,0, ,35432177936.3317,5353.34804464198,Upper middle income,167092882.2512064
A00048,Artigas,URY,Uruguay,Latin America & Caribbean,Provincial capital,0, ,53666908479.5585,15650.4994274155,High income,7906806.074976885
A00049,Santa Fe,ARG,Argentina,Latin America & Caribbean,Provincial capital,534204,"500,000 to 999,999",385540406815.599,8496.428156755,Upper middle income,46309262.73821949
A00050,Parana,ARG,Argentina,Latin America & Caribbean,Provincial capital,280520,"250,000 to 499,999",385540406815.599,8496.428156755,Upper middle income,34065619.25387283
A00051,Rosario,ARG,Argentina,Latin America & Caribbean,Other,1321765,"1,000,000 to 4,999,999",385540406815.599,8496.428156755,Upper middle income,160522989.72839397
A00052,La Plata,ARG,Argentina,Latin America & Caribbean,Provincial capital,895110,"500,000 to 999,999",385540406815.599,8496.428156755,Upper middle income,150708152.30952102
A00053,Santa Rosa,ARG,Argentina,Latin America & Caribbean,Provincial capital,127683,"100,000 to 249,999",385540406815.599,8496.428156755,Upper middle income,23401224.234051827
A00054,Viedma,ARG,Argentina,Latin America & Caribbean,Provincial capital,0, ,385540406815.599,8496.428156755,Upper middle income,5749937.3160719415
A00055,Rawson,ARG,Argentina,Latin America & Caribbean,Provincial capital,145647,"100,000 to 249,999",385540406815.599,8496.428156755,Upper middle income,3929109.671070216
A00057,San Salvador De Jujuy,ARG,Argentina,Latin America & Caribbean,Provincial capital,346920,"250,000 to 499,999",385540406815.599,8496.428156755,Upper middle income,21533112.53363191
A00058,Salta,ARG,Argentina,Latin America & Caribbean,Provincial capital,636406,"500,000 to 999,999",385540406815.599,8496.428156755,Upper middle income,54712089.37395402
A00059,San Miguel De Tucuman,ARG,Argentina,Latin America & Caribbean,Provincial capital,900677,"500,000 to 999,999",385540406815.599,8496.428156755,Upper middle income,108566542.73662733
A00060,Santiago Del Estero,ARG,Argentina,Latin America & Caribbean,Provincial capital,402436,"250,000 to 499,999",385540406815.599,8496.428156755,Upper middle income,38489348.827672735
A00061,Catamarca,ARG,Argentina,Latin America & Caribbean,Provincial capital,222984,"100,000 to 249,999",385540406815.599,8496.428156755,Upper middle income,20011762.62400162
A00062,La Rioja,ARG,Argentina,Latin America & Caribbean,Provincial capital,222155,"100,000 to 249,999",385540406815.599,8496.428156755,Upper middle income,29351490.17405642
A00063,San Luis,ARG,Argentina,Latin America & Caribbean,Provincial capital,235975,"100,000 to 249,999",385540406815.599,8496.428156755,Upper middle income,44014585.026634105
A00064,Formosa,ARG,Argentina,Latin America & Caribbean,Provincial capital,252791,"250,000 to 499,999",385540406815.599,8496.428156755,Upper middle income,26568758.67167804
A00065,Resistencia,ARG,Argentina,Latin America & Caribbean,Provincial capital,414226,"250,000 to 499,999",385540406815.599,8496.428156755,Upper middle income,80526911.32950965
A00066,Corrientes,ARG,Argentina,Latin America & Caribbean,Provincial capital,379978,"250,000 to 499,999",385540406815.599,8496.428156755,Upper middle income,49472996.95242261
A00067,Salto,URY,Uruguay,Latin America & Caribbean,Provincial capital,0, ,53666908479.5585,15650.4994274155,High income,20226884.51477879
A00068,Paysandu,URY,Uruguay,Latin America & Caribbean,Provincial capital,0, ,53666908479.5585,15650.4994274155,High income,17859381.062931992
A00071,Florianopolis,BRA,Brazil,Latin America & Caribbean,Provincial capital,405189,"250,000 to 499,999",1476107292036.59,6923.70019715065,Upper middle income,122355404.33552685
A00073,Rivera,URY,Uruguay,Latin America & Caribbean,Provincial capital,0, ,53666908479.5585,15650.4994274155,High income,12836214.746102385
A00074,Tacuarembo,URY,Uruguay,Latin America & Caribbean,Provincial capital,0, ,53666908479.5585,15650.4994274155,High income,10123829.103263725
A00075,Florida,URY,Uruguay,Latin America & Caribbean,Provincial capital,0, ,53666908479.5585,15650.4994274155,High income,3972813.1095887283
A00076,Maldonado,URY,Uruguay,Latin America & Caribbean,Provincial capital,0, ,53666908479.5585,15650.4994274155,High income,13050756.486118346
A00077,Montevideo,URY,Uruguay,Latin America & Caribbean,National and provincial capital,1383135,"1,000,000 to 4,999,999",53666908479.5585,15650.4994274155,High income,166576946.0411509
A00078,Salvador,BRA,Brazil,Latin America & Caribbean,Provincial capital,2674923,"1,000,000 to 4,999,999",1476107292036.59,6923.70019715065,Upper middle income,225178300.76419902
A00080,Vitoria,BRA,Brazil,Latin America & Caribbean,Provincial capital,327801,"250,000 to 499,999",1476107292036.59,6923.70019715065,Upper middle income,116991411.99362214
A00082,Sao Luis,BRA,Brazil,Latin America & Caribbean,Provincial capital,958545,"500,000 to 999,999",1476107292036.59,6923.70019715065,Upper middle income,1697860.256144653
