CityCode,CityName,MainCategory,SubCategory,EntityCount
A00000,Cuiaba,Transportation,Bridge,10
A00001,Brasilia,Transportation,Bridge,10
A00002,Goiania,Transportation,Bridge,33
A00003,Campo Grande,Transportation,Bridge,11
A00006,Posadas,Transportation,Bridge,13
A00007,Cuzco,Transportation,Bridge,5
A00008,Arequipa,Transportation,Bridge,23
A00009,La Paz,Transportation,Bridge,26
A00010,San Fernando,Transportation,Bridge,1
A00011,Talca,Transportation,Bridge,11
A00012,Concepcion,Transportation,Bridge,23
A00013,Puerto Montt,Transportation,Bridge,1
A00014,Copiapo,Transportation,Bridge,5
A00015,La Serena,Transportation,Bridge,15
A00016,San Juan,Transportation,Bridge,11
A00017,Mendoza,Transportation,Bridge,38
A00018,Valparaiso,Transportation,Bridge,36
A00020,Portoviejo,Transportation,Bridge,6
A00021,Guayaquil,Transportation,Bridge,30
A00022,Rio Branco,Transportation,Bridge,7
A00023,Cuenca,Transportation,Bridge,28
A00025,Tumbes,Transportation,Bridge,2
A00027,Huanuco,Transportation,Bridge,8
A00028,Quito,Transportation,Bridge,49
A00029,La Tacunga,Transportation,Bridge,9
A00030,Ambato,Transportation,Bridge,9
A00031,Riobamba,Transportation,Bridge,2
A00032,Huancayo,Transportation,Bridge,5
A00034,Moquegua,Transportation,Bridge,8
A00035,Tacna,Transportation,Bridge,3
A00036,Iquique,Transportation,Bridge,4
A00038,Manaus,Transportation,Bridge,34
A00039,Porto Velho,Transportation,Bridge,2
A00040,Cochabamba,Transportation,Bridge,49
A00041,Santa Cruz de La Sierra,Transportation,Bridge,38
A00042,Oruro,Transportation,Bridge,16
A00043,Sucre,Transportation,Bridge,4
A00044,Potosi,Transportation,Bridge,5
A00045,Tarija,Transportation,Bridge,16
A00047,Asuncion,Transportation,Bridge,7
A00048,Artigas,Transportation,Bridge,1
A00049,Santa Fe,Transportation,Bridge,7
A00050,Parana,Transportation,Bridge,3
A00051,Rosario,Transportation,Bridge,24
A00052,La Plata,Transportation,Bridge,33
A00053,Santa Rosa,Transportation,Bridge,1
A00055,Rawson,Transportation,Bridge,2
A00057,San Salvador De Jujuy,Transportation,Bridge,23
A00058,Salta,Transportation,Bridge,15
A00059,San Miguel De Tucuman,Transportation,Bridge,20
A00060,Santiago Del Estero,Transportation,Bridge,4
A00061,Catamarca,Transportation,Bridge,2
A00062,La Rioja,Transportation,Bridge,5
A00063,San Luis,Transportation,Bridge,4
A00064,Formosa,Transportation,Bridge,2
A00065,Resistencia,Transportation,Bridge,9
A00066,Corrientes,Transportation,Bridge,7
A00067,Salto,Transportation,Bridge,5
A00068,Paysandu,Transportation,Bridge,2
A00071,Florianopolis,Transportation,Bridge,32
A00073,Rivera,Transportation,Bridge,1
A00074,Tacuarembo,Transportation,Bridge,3
A00075,Florida,Transportation,Bridge,2
A00076,Maldonado,Transportation,Bridge,2
A00077,Montevideo,Transportation,Bridge,36
A00078,Salvador,Transportation,Bridge,30
A00080,Vitoria,Transportation,Bridge,20
A00083,Fortaleza,Transportation,Bridge,68
A00084,Teresina,Transportation,Bridge,15
A00085,Natal,Transportation,Bridge,3
A00086,Joao Pessoa,Transportation,Bridge,9
A00087,Recife,Transportation,Bridge,75
A00088,Aracaju,Transportation,Bridge,14
A00089,Jackson,Transportation,Bridge,33
A00096,Victoria,Transportation,Bridge,10
A00098,Olympia,Transportation,Bridge,19
A00100,Bismarck,Transportation,Bridge,8
A00101,Saskatoon,Transportation,Bridge,15
A00102,Regina,Transportation,Bridge,45
A00103,Winnipeg,Transportation,Bridge,102
A00104,Helena,Transportation,Bridge,26
A00106,Pierre,Transportation,Bridge,1
A00109,Lincoln,Transportation,Bridge,82
A00110,Topeka,Transportation,Bridge,63
A00113,Mexicali,Transportation,Bridge,20
A00114,Boise,Transportation,Bridge,117
A00116,Salem,Transportation,Bridge,25
A00117,Carson City,Transportation,Bridge,5
A00121,Cheyenne,Transportation,Bridge,11
A00126,Santa Fe,Transportation,Bridge,8
A00128,Little Rock,Transportation,Bridge,159
A00131,Hermosillo,Transportation,Bridge,16
A00132,Chihuahua,Transportation,Bridge,25
A00133,Culiacan,Transportation,Bridge,25
A00134,Durango,Transportation,Bridge,14
A00135,Zacatecas,Transportation,Bridge,16
A00140,Saltillo,Transportation,Bridge,24
A00141,Ciudad Victoria,Transportation,Bridge,4
A00142,Aguascalientes,Transportation,Bridge,28
A00143,Tepic,Transportation,Bridge,8
A00144,Guanajuato,Transportation,Bridge,5
A00146,Colima,Transportation,Bridge,8
A00147,Tampico,Transportation,Bridge,20
A00149,Jalapa,Transportation,Bridge,9
A00150,Tlaxcala,Transportation,Bridge,17
A00151,Puebla,Transportation,Bridge,59
A00152,Villahermosa,Transportation,Bridge,21
A00153,Oaxaca,Transportation,Bridge,19
A00154,Tuxtla Gutierrez,Transportation,Bridge,15
A00155,San Luis Potosi,Transportation,Bridge,22
A00156,Queretaro,Transportation,Bridge,44
A00157,Pachuca,Transportation,Bridge,13
A00158,Morelia,Transportation,Bridge,21
A00160,Toluca,Transportation,Bridge,17
A00161,Cuernavaca,Transportation,Bridge,23
A00162,Chilpancingo De Los Bravo,Transportation,Bridge,7
A00168,Guatemala,Transportation,Bridge,18
A00170,Santa Clara,Transportation,Bridge,2
A00171,Cienfuegos,Transportation,Bridge,3
A00172,Sancti Spiritus,Transportation,Bridge,6
A00173,Ciego De Avila,Transportation,Bridge,1
A00174,Alajuela,Transportation,Bridge,21
A00175,Heredia,Transportation,Bridge,21
A00176,Puerto Limon,Transportation,Bridge,1
